Numéro ;Nom du site :;Adresse(s) :;Ville :;Code postal :;Pays :;Responsable d'origine ;Date de création  ;Créé le;Créé par;Modif. Le;Modif. Par
862;Site inconnu RCE NORD n°2;INCONNU;INCONNU;INCONNU;INCONNU;NOVADIS;10/03/2026;10/03/2026 10:39:31;EL MARZOUKI Outhman;10/03/2026 10:40:33;EL MARZOUKI Outhman
861;9 Rue de Vienne;9 RUE DE VIENNE;PARIS;75008;FRANCE;NOVADIS;04/03/2026;04/03/2026 14:59:53;DEMACHKIEH Fadi;04/03/2026 15:00:48;DEMACHKIEH Fadi
860;Immeuble 7 Scribe;7 RUE SCRIBE;PARIS;75009;FRANCE;SABRI;03/03/2026;03/03/2026 15:33:41;SABRI Ahmed;03/03/2026 15:34:47;SABRI Ahmed
859;Jeune Afrique Media Group;57B RUE D'AUTUEIL;PARIS;75016;FRANCE;SABRI;25/02/2026;25/02/2026 08:21:31;SABRI Ahmed;25/02/2026 08:22:37;SABRI Ahmed
858;HELIAQ NANTES;1 RUE DES CITRINES;NANTES;44300;FRANCE;VIALE;17/02/2026;17/02/2026 16:32:36;VIALE Jules;17/02/2026 16:35:14;VIALE Jules
857;CW 185 CDG;185 AVENUE CHARLES DE GAULLE;NEUILLY-SUR-SEINE;92200;FRANCE;VIALE;17/02/2026;17/02/2026 16:06:34;VIALE Jules;17/02/2026 16:08:52;VIALE Jules
856;ELYSEE LIBAN;77 RUE LA BOÉTIE;PARIS;75008;FRANCE;NOVADIS;10/02/2026;10/02/2026 13:23:45;DEMACHKIEH Fadi;10/02/2026 13:34:26;DEMACHKIEH Fadi
855;Chanel 48 Cambon;48 RUE CAMBON;PARIS;75001;FRANCE;SABRI;09/02/2026;09/02/2026 15:09:34;SABRI Ahmed;09/02/2026 15:10:13;SABRI Ahmed
854;Tour Carpe Diem;31 PLACE DES COROLLES;COURBEVOIE;92400;FRANCE;SABRI;06/02/2026;06/02/2026 16:17:05;SABRI Ahmed;06/02/2026 16:17:48;SABRI Ahmed
853;POP MART;51 BD HAUSSMANN;PARIS;75008;FRANCE;CREUSVAUX;06/02/2026;06/02/2026 14:52:03;CREUSVAUX Jérémy;06/02/2026 14:53:18;CREUSVAUX Jérémy
852;Immeuble 7 rue de Bucarest (CESA);7 RUE DE BUCAREST;PARIS;75008;FRANCE;NOVADIS;05/02/2026;05/02/2026 15:08:44;TANGUY Arthur;05/02/2026 15:09:18;TANGUY Arthur
851;CENTRE DE RÉÉDUCATION SMR LIEUSAINT;CARRÉ SÉNART;LIEUSAINT;77127;FRANCE;NOVADIS;03/02/2026;03/02/2026 09:04:09;EL MARZOUKI Outhman;03/02/2026 09:07:45;EL MARZOUKI Outhman
850;SOLMAX;ZI LES GARENNES RUE DU PETIT CHEMIN DE FLINS;  LES MUREAUX;78130;FRANCE;NOVADIS;30/01/2026;30/01/2026 15:33:10;DEMACHKIEH Fadi;30/01/2026 15:42:03;DEMACHKIEH Fadi
848;DAC Dreux Athletic CLub Tennis;1, ALLÉE DU GÉNÉRAL KOENIG;DREUX;28100;;NOVADIS;26/01/2026;26/01/2026 10:02:26;JDANOFF Nicolas;26/01/2026 10:03:15;JDANOFF Nicolas
847;Hôtel d'activité;BOULEVARD DAVOUT;PARIS;75020;;LOPEZ;22/01/2026;22/01/2026 08:48:33;LOPEZ Laurent;22/01/2026 08:48:58;LOPEZ Laurent
846;HÔPITAL PSYCHIATRIQUE CHAMBOURCY;A RENSEIGNER PLUS TARD;CHAMBOURCY;78240;FRANCE;NOVADIS;21/01/2026;21/01/2026 16:08:28;DEMACHKIEH Fadi;21/01/2026 16:25:32;DEMACHKIEH Fadi
845;SIEGE SONY MUSIC ;69 BOULEVARD DE CHARONNE;PARIS;75011;;LOPEZ;16/01/2026;16/01/2026 10:47:38;LOPEZ Laurent;16/01/2026 10:48:16;LOPEZ Laurent
844;E-Novation technologies;54 B AVENUE DU PORT AU FOUARRE;SAINT-MAURE-DES-FOSSES;94100;FRANCE;SABRI;15/01/2026;15/01/2026 15:35:13;SABRI Ahmed;15/01/2026 15:36:52;SABRI Ahmed
843;Locaux Clémançon Villepinte;22 AVENUE DES NATIONS;VILLEPINTE;93420;FRANCE;SABRI;15/01/2026;15/01/2026 10:56:51;SABRI Ahmed;15/01/2026 10:58:28;SABRI Ahmed
842;PAVILLONS D'AUSTERLITZ LES AMARRES;24 -26 QUAI D'AUSTERLITZ;PARIS;75013;FRANCE;NOVADIS;14/01/2026;14/01/2026 14:49:45;EL MARZOUKI Outhman;14/01/2026 14:50:54;EL MARZOUKI Outhman
841;68 FSH;68 FAUBOURG SAINT HONORE;PARIS;75008;FRANCE;NOVADIS;12/01/2026;12/01/2026 15:45:49;DEMACHKIEH Fadi;12/01/2026 15:46:48;DEMACHKIEH Fadi
840;86 St Lazare (COVEA);86 RUE SAINT-LAZARE;PARIS;75009;FRANCE;SABRI;08/01/2026;08/01/2026 10:11:00;SABRI Ahmed;08/01/2026 10:11:47;SABRI Ahmed
839;HOTEL CITADINES;53 TER QUAI DES GRANDS AUGUSTINS;PARIS;75006;FRANCE;NOVADIS;07/01/2026;07/01/2026 13:53:43;EL MARZOUKI Outhman;07/01/2026 14:05:26;EL MARZOUKI Outhman
838;IMMEUBLE MESSINE;34 AVENUE DE MESSINE;PARIS;75008;FRANCE;NOVADIS;04/01/2026;04/01/2026 12:09:36;EL MARZOUKI Outhman;04/01/2026 12:10:41;EL MARZOUKI Outhman
837;Centre Hospitalier Régional de Guelmim;HOPITAL RÉGIONAL N12;GUELMIM;;MAROC;SABRI;30/12/2025;30/12/2025 14:23:19;SABRI Ahmed;30/12/2025 14:24:47;SABRI Ahmed
836;SQUARE D'ORLEANS;1 À 9 SQUARE D’ORLÉANS ;PARIS;75009;FRANCE;NOVADIS;30/12/2025;30/12/2025 13:57:38;DEMACHKIEH Fadi;30/12/2025 13:59:04;DEMACHKIEH Fadi
835;Pavillon de l'Arsenal;21 BOULEVARD MORLAND;PARIS;75004;;LOPEZ;17/12/2025;17/12/2025 10:31:34;LOPEZ Laurent;17/12/2025 10:32:03;LOPEZ Laurent
834;Immeuble - Camille Desmoulins;1 RUE CAMILLE DESMOULINS;ISSY-LES-MOULINEAUX;92040;FRANCE;NOVADIS;16/12/2025;16/12/2025 09:13:09;TANGUY Arthur;16/12/2025 09:14:20;TANGUY Arthur
833;Antin Résidences;59 RUE DE PROVENCE;PARIS;75009;FRANCE;SABRI;15/12/2025;15/12/2025 14:10:10;SABRI Ahmed;15/12/2025 14:10:33;SABRI Ahmed
832;EIGSI - École d'ingénieurs;26 RUE DE VAUX DE FOLETIER;LA ROCHELLE;17041;FRANCE;NOVADIS;15/12/2025;15/12/2025 13:51:45;TANGUY Arthur;15/12/2025 15:35:46;TANGUY Arthur
831;EOS;39 – 41 QUAI DU PRÉSIDENT ROOSEVELT;ISSY-LES-MOULINEAUX;92130;FRANCE;NOVADIS;15/12/2025;15/12/2025 09:48:00;DEMACHKIEH Fadi;15/12/2025 09:50:09;DEMACHKIEH Fadi
830;Groupe scolaire ANATOLE FRANCE;68 RUE ANATOLE FRANCE;LEVALLOIS PERRET;92300;;CREUSVAUX;12/12/2025;12/12/2025 15:28:42;CREUSVAUX Jérémy;12/12/2025 15:31:17;CREUSVAUX Jérémy
829;Site(s) inconnu(s) - ABSCYSS;A RENSEIGNER ULTÉRIEUREMENT.;;;;NOVADIS;09/12/2025;09/12/2025 19:37:36;TANGUY Arthur;09/12/2025 19:38:01;TANGUY Arthur
828;AXA ASSEMBLY (RPCE);45-47 AVENUE FRANKLIN D. ROOSEVELT;PARIS;75008;FRANCE;NOVADIS;05/12/2025;05/12/2025 16:59:36;DEMACHKIEH Fadi;05/12/2025 17:05:12;DEMACHKIEH Fadi
827;44 RUE DE BIENFAISANCE;44 RUE DE BIENFAISANCE;PARIS;75008;FRANCE;NOVADIS;05/12/2025;05/12/2025 13:11:23;EL MARZOUKI Outhman;05/12/2025 13:12:05;EL MARZOUKI Outhman
826;FAURE LE PAGE;352 RUE SAINT HONORÉ ;PARIS;75001;;LL+;05/12/2025;05/12/2025 10:41:02;LOPEZ Laurent;05/12/2025 10:41:25;LOPEZ Laurent
825;RIE VILLAGES;RUE VILLAGES;PARIS LA DEFENSE;92400;FRANCE;SABRI;04/12/2025;04/12/2025 17:22:21;SABRI Ahmed;04/12/2025 17:23:17;SABRI Ahmed
824;PAR01;;AULNAY-SOUS-BOIS;93600;FRANCE;SABRI;03/12/2025;03/12/2025 10:16:11;SABRI Ahmed;03/12/2025 10:18:16;SABRI Ahmed
823;PALAIS DES CONGRES TOURS;26 BD HEURTELOUP;TOURS;37000;FRANCE;NOVADIS;02/12/2025;02/12/2025 10:57:26;EL MARZOUKI Outhman;02/12/2025 10:59:23;EL MARZOUKI Outhman
822;Lycée Raymond MONDON;2 BD DE LA DEFENSE;METZ;57070;FRANCE;NOVADIS;28/11/2025;28/11/2025 11:08:31;EL MARZOUKI Outhman;28/11/2025 11:09:06;EL MARZOUKI Outhman
